,best_train_loss,best_train_loss_idx,best_test_loss,best_test_loss_idx,best_train_auc,best_train_auc_idx,best_test_auc,best_test_auc_idx,std,n_hidden,drop,batchnorm,batchsize,act,encoding,identifier,seed,elapsed_seconds
0,0.4216542254066467,473,0.6576502828471429,2,0.7658,451,0.6595,10,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,17,60
0,0.426982448387146,497,0.6539241339374051,3,0.7549,497,0.6649,423,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,18,70
0,0.4222681628608704,455,0.6548677636622542,3,0.7634,455,0.6728,474,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,18,69
0,0.4304546083641052,455,0.6173058913933241,59,0.7531,455,0.6364,447,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,19,69
0,0.42462145592689515,463,0.623308216191371,4,0.7666,490,0.6238,489,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,19,69
0,0.4285800620269775,443,0.6293791899314294,193,0.7538,443,0.6921,92,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,20,70
0,0.4214211168384552,441,0.6436239425952618,457,0.7654,441,0.6978,259,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,20,68
0,0.4295427203178406,459,0.6149672326788438,304,0.7516,483,0.6963,225,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,21,63
0,0.42485597435951233,476,0.6133729173018869,168,0.7609,476,0.7116,159,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,21,60
0,0.4207380725669861,444,0.6558520677515152,441,0.7629,444,0.6946,116,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,22,63
0,0.41784833919525144,481,0.6666325254472418,1,0.7694,481,0.6896,448,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,22,60
0,0.4277101821231842,495,0.6548600441891587,435,0.7516,495,0.7072,435,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,23,63
0,0.4224932102203369,495,0.6708443809026448,2,0.7613,495,0.6946,489,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,23,61
0,0.4273472074317932,452,0.6447695721333949,138,0.7521,452,0.6615,170,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,24,64
0,0.42207561641693114,496,0.6502449734127103,3,0.7624,496,0.676,476,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,24,61
0,0.4278088629436493,430,0.6074682426084581,144,0.753,476,0.6988,117,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,25,71
0,0.42093556705474855,491,0.6171791724234461,223,0.7659,491,0.6834,214,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,25,68
0,0.426036757774353,498,0.6547535308202108,2,0.7558,498,0.6486,369,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,26,71
0,0.4219603139591217,462,0.6553247547149659,2,0.7653,455,0.6558,389,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,26,68
0,0.4326540898990631,483,0.6204833690434286,120,0.7501,488,0.649,355,True,50,0.4,True,128,ReLU,BL50LO,normal_doublepass,27,72
0,0.42418706698417663,491,0.6261410068159234,329,0.7663,491,0.665,304,True,50,0.4,True,128,ReLU,BL50LO,test_singlepass,27,68
