,AUC_baseline,AUC01_baseline,PPV_baseline,AUC_structure,AUC01_structure,PPV_structure
5181,0.9452893170930087,0.8957471222552666,0.7216575449569976,0.9443659422178923,0.8927285748058914,0.7107114933541829
5182,0.9493629854291505,0.8895637139845388,0.7114933541829555,0.947935223764864,0.881868531733332,0.7114933541829555
5183,0.9432716143936817,0.8899024749915053,0.7200938232994527,0.9411613103214588,0.8849567091913606,0.7099296325254105
5184,0.9495557800196149,0.8959529907502526,0.7232212666145426,0.9467932084080033,0.8888064926326359,0.7138389366692729
5185,0.9402924075265805,0.8926588447770422,0.7161845191555903,0.938594344934842,0.8864542606030936,0.7099296325254105
5186,0.9398360908743341,0.8882751139978273,0.7474589523064894,0.9374579821370739,0.8844435464223965,0.7396403440187647
5187,0.9387293206227009,0.8848910816902096,0.7169663799843627,0.9373505207531758,0.8773850157379359,0.7083659108678655
5188,0.9471003641989708,0.8914601348797333,0.7333854573885848,0.945747422900749,0.8848176965290798,0.7216575449569976
5189,0.9427706593478697,0.8932451057412042,0.7357310398749023,0.9433202026395635,0.888314849576568,0.7279124315871774
5190,0.9428541685397731,0.8861346613074397,0.6982017200938233,0.9423867680435445,0.8811667512970659,0.6872556684910086
5191,0.9474618858196171,0.895916022307539,0.6833463643471462,0.9466533662645664,0.891489352166745,0.6825645035183737
5192,0.9461245161937335,0.8938394920407172,0.691164972634871,0.9446430307019276,0.8885459088993243,0.6903831118060985
5193,0.9451472125931712,0.8906635514473984,0.7075840500390931,0.9428925334338281,0.8858494051580592,0.7044566067240031
5194,0.9400028942043167,0.8853608222636193,0.706020328381548,0.938812891255357,0.8808634510698119,0.6966379984362784
5195,0.9452948284062399,0.8954318826205796,0.6989835809225958,0.9449416748436312,0.8890861143529125,0.6903831118060985
5196,0.9443321818717757,0.8910156384377501,0.706020328381548,0.9418954309256153,0.8828053717092973,0.7005473025801408
5197,0.9454777538754473,0.8933743224711919,0.72869429241595,0.9422465985740128,0.8871272866756611,0.7263487099296325
5198,0.9471059780009565,0.8952000805456971,0.7099296325254105,0.9458474414155906,0.8897430424459044,0.6958561376075059
5199,0.939452684009598,0.8853580420556808,0.691164972634871,0.9384206273972092,0.879650086480769,0.6919468334636435
5200,0.9533176508235559,0.8979500479613729,0.709147771696638,0.9542476336928907,0.8969449314263689,0.706020328381548
5201,0.9527794911285419,0.8976836144146879,0.7114933541829555,0.9517000487415141,0.8933749624124379,0.7052384675527756
5202,0.9441633142383963,0.8901426412288671,0.7185301016419078,0.9414343758303825,0.8838919846472932,0.7200938232994527
5203,0.9468682195297347,0.8917096014341577,0.7052384675527756,0.9445393271916893,0.8842337436296519,0.7021110242376857
5204,0.9514052934919422,0.895491055404888,0.7318217357310399,0.9500280326746839,0.8905964460933367,0.72556684910086
5205,0.9462691488347383,0.8907666862223522,0.7232212666145426,0.9443204461648558,0.8821809520086543,0.7177482408131353
5206,0.94519001867493,0.8925184046915369,0.7122752150117279,0.9444020285629886,0.889409080114062,0.7130570758405004
5207,0.9381588575178421,0.8865784750333194,0.7169663799843627,0.9354584426743228,0.8798061745979955,0.7075840500390931
5208,0.9460454064160553,0.8913864640981619,0.7130570758405004,0.9432166485182282,0.8846135454470557,0.7052384675527756
5209,0.9497187900089151,0.8951380378890035,0.7161845191555903,0.9498006709035568,0.8916927779129358,0.7107114933541829
5210,0.9478241310128901,0.8927810534437328,0.7333854573885848,0.9458358880218064,0.8891398864346693,0.7247849882720876
